"type","name","iso_country","municipality","icao_code","iata_code"
"heliport","Toorghodi Heliport","AF","Kara Tapa","OATD",
"small_airport","Afutara Aerodrome","SB","Bila","AGAF","AFT"
"small_airport","Ulawa Airport","SB","Arona","AGAR","RNA"
"small_airport","Uru Harbour Airport","SB","Atoifi","AGAT","ATD"
"small_airport","Barakoma Airport","SB","Barakoma","AGBA","VEV"
"small_airport","Batuna Aerodrome","SB","Batuna Mission Station","AGBT","BPF"
"small_airport","Geva Airport","SB","Liangia","AGEV","GEF"
"small_airport","Gwaunaru'u Airport","SB","Auki","AGGA","AKS"
"small_airport","Bellona/Anua Airport","SB","Anua","AGGB","BNY"
"small_airport","Choiseul Bay Airport","SB","Choiseul Bay","AGGC","CHY"
"small_airport","Ballalae Airport","SB","Ballalae","AGGE","BAS"
"small_airport","Fera/Maringe Airport","SB","Fera Island","AGGF","FRE"
"large_airport","Honiara International Airport","SB","Honiara","AGGH","HIR"
"small_airport","Babanakira Airport","SB","Mbambanakira","AGGI","MBU"
"small_airport","Avu Avu Airport","SB","Avu Avu","AGGJ","AVU"
"small_airport","Ngorangora Airport","SB","Kirakira","AGGK","IRA"
"small_airport","Santa Cruz/Graciosa Bay/Luova Airport","SB","Santa Cruz/Graciosa Bay/Luova","AGGL","SCZ"
"medium_airport","Munda Airport","SB","Munda","AGGM","MUA"
"small_airport","Nusatupe Airport","SB","Gizo","AGGN","GZO"
"small_airport","Mono Airport","SB","Stirling Island","AGGO","MNY"
"small_airport","Parasi Airport","SB","Parasi","AGGP","PRS"
"small_airport","Rennell/Tingoa Airport","SB","Rennell Island","AGGR","RNL"
"small_airport","Sege Airport","SB","Sege","AGGS","EGM"
"small_airport","Santa Ana Airport","SB","Santa Ana Island","AGGT","NNB"
"small_airport","Marau Airport","SB","Marau","AGGU","RUS"
"small_airport","Suavanao Airport","SB","Suavanao","AGGV","VAO"
"small_airport","Yandina Airport","SB","Yandina","AGGY","XYA"
"heliport","Isuna Heliport","SB","Veravaulo","AGIN",
"small_airport","Kaghau Airport","SB","Kagau Island","AGKG","KGE"
"small_airport","Kukudu Airport","SB","Kolombangara Island","AGKU","KUE"
"small_airport","Kwailabesi Airport","SB","Kwailabesi","AGKW","KWS"
"small_airport","Lomlom Airport","SB","Lomlom","AGLM","LLM"
"small_airport","Nana Airport","SB","Star Harbor","AGNA","NAZ"
"small_airport","Manaoba Airport","SB","Manaoba","AGOB","MHM"
"small_airport","Gatokae Aerodrome","SB","Gatokae","AGOK","GTA"
"small_airport","Ringi Cove Airport","SB","Ringi Cove","AGRC","RIN"
"small_airport","Ramata Airport","SB","Ramata","AGRM","RBV"
"heliport","Tulaghi Heliport","SB","Tulaghi Island","AGTI","TLG"
"medium_airport","Nauru International Airport","NR","Yaren District","ANYN","INU"
"small_airport","Ama Airport","PG",,"AYAA","AMF"
"small_airport","Mount Aue Airport","PG","Aue","AYAE","UAE"
"small_airport","Afore Airstrip","PG","Afore","AYAF","AFR"
"small_airport","Agaun Airport","PG","Agaun","AYAG","AUP"
"small_airport","Aitape Airport","PG","Aitape","AYAI","ATP"
"small_airport","Aiambak Airport","PG","Aiambak","AYAK","AIH"
"small_airport","Amanab Airport","PG","Amanab","AYAM","AMU"
"small_airport","Andakombe Airport","PG","Andekombe","AYAN","ADC"
"small_airport","Aiome Airport","PG","Aiome","AYAO","AIE"
"small_airport","Kompiam Airport","PG",,"AYAQ","KPM"
"small_airport","Ambunti Airport","PG","Ambunti","AYAT","AUJ"
"small_airport","Awaba Airport","PG","Awaba","AYAW","AWB"
"small_airport","Aseki Airport","PG","Aseki","AYAX","AEK"
"small_airport","Aiyura Airport","PG","Aiyura Valley","AYAY","AYU"
"medium_airport","Baimuru Airport","PG","Baimuru","AYBA","VMU"
"small_airport","Bambu Airport","PG","Bambu","AYBC","BCP"
"small_airport","Bodinumu Airport","PG","Bodinumu","AYBD","BNM"
"small_airport","Bamu Airport","PG","Bamu","AYBF","BMZ"
"small_airport","Baindoung Airport","PG",,"AYBG","BDZ"
"small_airport","Bensbach Airport","PG","Bensbach","AYBH","BSP"
"small_airport","Bewani Airport","PG","Bewani","AYBI","BWP"
"medium_airport","Buka Airport","PG","Buka Island","AYBK","BUA"
"small_airport","Bialla Airport","PG","Bialla, Matalilu, Ewase","AYBL","BAA"
"medium_airport","Balimo Airport","PG","Balimo","AYBM","OPU"
"small_airport","Bomai Airport","PG","Bomai","AYBO","BMH"
"small_airport","Bapi Airstrip","PG","Bapi","AYBP","BPD"
"small_airport","Biangabip Airport","PG","Biangabip","AYBQ","BPK"
"small_airport","Biaru Airport","PG","Biaru","AYBR","BRP"
"small_airport","Bulolo Airport","PG","Bulolo","AYBU","BUL"
"small_airport","Biniguni Airport","PG","Biniguni","AYBZ","XBN"
"small_airport","Chungribu Airport","PG","Chungribu","AYCB","CVB"
"small_airport","Cape Gloucester Airport","PG","Cape Gloucester","AYCG","CGC"
"medium_airport","Chimbu Airport","PG","Kundiawa","AYCH","CMU"
"small_airport","China Strait Airstrip","PG","Samarai Island","AYCS","SQT"
"small_airport","Debepare Airport","PG","Debepare","AYDB","DBP"
"small_airport","Derim Airport","PG","Derim","AYDE","DER"
"small_airport","Bundi Airport","PG","Bundi","AYDI","BNT"
"small_airport","Munduku Airport","PG","Munduku","AYDK","MDM"
"small_airport","Kondobol Airport","PG","Kondobol","AYDL","KPF"
"small_airport","Dinangat Airport","PG","Dinangat","AYDN","DNU"
"small_airport","Doini Airport","PG","Castori Islets","AYDO","DOI"
"small_airport","Dorobisoro Airport","PG","Dorobisoro","AYDR","DOO"
"medium_airport","Daru Airport","PG","Daru","AYDU","DAU"
"small_airport","Kerau Airport","PG","Gunim","AYEA","KRU"
"small_airport","Embessa Airport","PG","Embessa","AYEB","EMS"
"small_airport","Edwaki Airport","PG","Yellow River Mission","AYED","XYR"
"small_airport","Emirau Airport","PG","Emirau Island","AYEE","EMI"
"small_airport","Efogi Airport","PG","Efogi","AYEF","EFG"
"small_airport","Morehead Airport","PG","Morehead","AYEH","MHY"
"small_airport","Eliptamin Airport","PG","Eliptamin","AYEL","EPT"
"small_airport","Engati Airstrip","PG","Engati","AYEN","EGA"
"small_airport","Emo River Airstrip","PG","Emo Mission","AYEO","EMO"
"small_airport","Erume Airport","PG","Erume","AYER","ERU"
"small_airport","Bosset Airport","PG","Bosset","AYET","BOT"
"small_airport","Erave Airport","PG","Erave","AYEV","ERE"
"small_airport","Siwea Airport","PG","Siwea","AYEW","SWE"
"small_airport","Fane Airport","PG","Fane Mission","AYFA","FNE"
"small_airport","Feramin Airport","PG","Feramin","AYFE","FRQ"
"small_airport","Finschhafen Airport","PG","Buki","AYFI","FIN"
"small_airport","Frieda River Airport","PG","Frieda River","AYFR","FAQ"
"small_airport","Fuma Airport","PG","Fuma","AYFU","FUM"
"medium_airport","Goroka Airport","PG","Goronka","AYGA","GKA"
"small_airport","Gewoia Airport","PG","Gewoia","AYGC","GEW"
"small_airport","Guari Airport","PG","Guari","AYGF","GUG"
"small_airport","Garasa Airport","PG","Au","AYGG","GRL"
"small_airport","Garaina Airport","PG","Garaina","AYGI","GAR"
"small_airport","Guasopa Airport","PG","Woodlark (Muyua) Island","AYGJ","GAZ"
"small_airport","Gonaili Airport","PG","Gonaili","AYGL","GOE"
